GID_0,COUNTRY,HASC_1,Num_review
AUT,Austria,Austria,4192
BEL,Belgium,Belgium,2870
BGR,Bulgaria,Bulgaria,4734
CHE,Switzerlan,Switzerlan,2436
CYP,Cyprus,Cyprus,292
CZE,Czechia,Czechia,6064
DEU,Germany,Germany,17091
DNK,Denmark,Denmark,6113
ESP,Spain,Spain,4702
EST,Estonia,Estonia,1246
FIN,Finland,Finland,14933
FRA,France,France,6576
GBR,United Kin,United Kin,86690
GRC,Greece,Greece,8766
HRV,Croatia,Croatia,8754
HUN,Hungary,Hungary,15932
IRL,Ireland,Ireland,11513
ISL,Iceland,Iceland,958
ITA,Italy,Italy,8705
LIE,Liechtenst,Liechtenst,20
LTU,Lithuania,Lithuania,5217
LUX,Luxembourg,Luxembourg,238
LVA,Latvia,Latvia,2016
MLT,Malta,Malta,3
NLD,Netherland,Netherland,3042
NOR,Norway,Norway,5370
POL,Poland,Poland,25368
PRT,Portugal,Portugal,2811
ROU,Romania,Romania,10850
SVK,Slovakia,Slovakia,2705
SVN,Slovenia,Slovenia,5854
SWE,Sweden,Sweden,15169
