GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,Num_review
USA.1_1,USA,United States,Alabama,AL|Ala.,NA,State,State,NA,US.AL,US-AL,5101
USA.2_1,USA,United States,Alaska,AK|Alaska,NA,State,State,NA,US.AK,US-AK,1237
USA.3_1,USA,United States,Arizona,AZ|Ariz.,NA,State,State,NA,US.AZ,US-AZ,11164
USA.4_1,USA,United States,Arkansas,AR|Ark.,NA,State,State,NA,US.AR,US-AR,3113
USA.5_1,USA,United States,California,CA|Calif.,NA,State,State,NA,US.CA,US-CA,94573
USA.6_1,USA,United States,Colorado,CO|Colo.,NA,State,State,NA,US.CO,US-CO,16648
USA.7_1,USA,United States,Connecticut,CT|Conn.,NA,State,State,NA,US.CT,US-CT,8081
USA.8_1,USA,United States,Delaware,DE|Del.,NA,State,State,NA,US.DE,US-DE,1947
USA.9_1,USA,United States,District of Columbia,DC|D.C.,NA,Federal District,Federal District,NA,US.DC,US-DC,1706
USA.10_1,USA,United States,Florida,FL|Fla.,NA,State,State,NA,US.FL,US-FL,27849
USA.11_1,USA,United States,Georgia,GA|Ga.,NA,State,State,NA,US.GA,US-GA,17505
USA.12_1,USA,United States,Hawaii,HI|Hawaii,NA,State,State,NA,US.HI,US-HI,4075
USA.13_1,USA,United States,Idaho,ID|Idaho,NA,State,State,NA,US.ID,US-ID,2864
USA.14_1,USA,United States,Illinois,IL|Ill.,NA,State,State,NA,US.IL,US-IL,14755
USA.15_1,USA,United States,Indiana,IN|Ind.,NA,State,State,NA,US.IN,US-IN,8088
USA.16_1,USA,United States,Iowa,IA|Iowa,NA,State,State,NA,US.IA,US-IA,5141
USA.17_1,USA,United States,Kansas,KS|Kans.,NA,State,State,NA,US.KS,US-KS,3915
USA.18_1,USA,United States,Kentucky,Commonwealth of Kentucky|KY,NA,State,State,NA,US.KY,US-KY,4389
USA.19_1,USA,United States,Louisiana,LA,NA,State,State,NA,US.LA,US-LA,2836
USA.20_1,USA,United States,Maine,ME|Maine,NA,State,State,NA,US.ME,US-ME,4956
USA.21_1,USA,United States,Maryland,MD,NA,State,State,NA,US.MD,US-MD,15040
USA.22_1,USA,United States,Massachusetts,Commonwealth of Massachusetts|MA,NA,State,State,NA,US.MA,US-MA,15361
USA.23_1,USA,United States,Michigan,MI|Mich.,NA,State,State,NA,US.MI,US-MI,16309
USA.24_1,USA,United States,Minnesota,MN|Minn.,NA,State,State,NA,US.MN,US-MN,13178
USA.25_1,USA,United States,Mississippi,MS|Miss.,NA,State,State,NA,US.MS,US-MS,2185
USA.26_1,USA,United States,Missouri,MO,NA,State,State,NA,US.MO,US-MO,7178
USA.27_1,USA,United States,Montana,MT|Mont.,NA,State,State,NA,US.MT,US-MT,2420
USA.28_1,USA,United States,Nebraska,NE|Nebr.,NA,State,State,NA,US.NE,US-NE,2713
USA.29_1,USA,United States,Nevada,NV|Nev.,NA,State,State,NA,US.NV,US-NV,6017
USA.30_1,USA,United States,New Hampshire,NH|N.H.,NA,State,State,NA,US.NH,US-NH,3252
USA.31_1,USA,United States,New Jersey,NJ|N.J.,NA,State,State,NA,US.NJ,US-NJ,10772
USA.32_1,USA,United States,New Mexico,NM|N.M.,NA,State,State,NA,US.NM,US-NM,5067
USA.33_1,USA,United States,New York,NY|N.Y.,NA,State,State,NA,US.NY,US-NY,28072
USA.34_1,USA,United States,North Carolina,NC|N.C.,NA,State,State,NA,US.NC,US-NC,17878
USA.35_1,USA,United States,North Dakota,ND|N.D.,NA,State,State,NA,US.ND,US-ND,1279
USA.36_1,USA,United States,Ohio,OH|Ohio,NA,State,State,NA,US.OH,US-OH,15080
USA.37_1,USA,United States,Oklahoma,OK|Okla.,NA,State,State,NA,US.OK,US-OK,6576
USA.38_1,USA,United States,Oregon,OR|Ore.,NA,State,State,NA,US.OR,US-OR,13526
USA.39_1,USA,United States,Pennsylvania,Commonwealth of Pennsylvania|PA,NA,State,State,NA,US.PA,US-PA,15691
USA.40_1,USA,United States,Rhode Island,State of Rhode Island and Provid,NA,State,State,NA,US.RI,US-RI,1780
USA.41_1,USA,United States,South Carolina,SC|S.C.,NA,State,State,NA,US.SC,US-SC,6942
USA.42_1,USA,United States,South Dakota,SD|S.D.,NA,State,State,NA,US.SD,US-SD,1566
USA.43_1,USA,United States,Tennessee,TN|Tenn.,NA,State,State,NA,US.TN,US-TN,8291
USA.44_1,USA,United States,Texas,TX|Tex.,NA,State,State,NA,US.TX,US-TX,27518
USA.45_1,USA,United States,Utah,UT,NA,State,State,NA,US.UT,US-UT,8523
USA.46_1,USA,United States,Vermont,VT,NA,State,State,NA,US.VT,US-VT,4586
USA.47_1,USA,United States,Virginia,VA,NA,State,State,NA,US.VA,US-VA,13763
USA.48_1,USA,United States,Washington,WA|Wash.,NA,State,State,NA,US.WA,US-WA,23603
USA.49_1,USA,United States,West Virginia,WV|W.Va.,NA,State,State,NA,US.WV,US-WV,2299
USA.50_1,USA,United States,Wisconsin,WI|Wis.,NA,State,State,NA,US.WI,US-WI,9651
USA.51_1,USA,United States,Wyoming,WY|Wyo.,NA,State,State,NA,US.WY,US-WY,1689
