GID_0,COUNTRY,HASC_1,region,gini
AUT,Austria,Austria,Austria,0.989754341073232
BEL,Belgium,Belgium,Belgium,0.99082760816371
BGR,Bulgaria,Bulgaria,Bulgaria,0.989850915247394
CHE,Switzerlan,Switzerlan,Switzerlan,0.984336252654752
CYP,Cyprus,Cyprus,Cyprus,0.985943440128775
CZE,Czechia,Czechia,Czechia,0.99176033117153
DEU,Germany,Germany,Germany,0.990738721371053
DNK,Denmark,Denmark,Denmark,0.986321390318356
ESP,Spain,Spain,Spain,0.990390691161156
EST,Estonia,Estonia,Estonia,0.975622540314992
FIN,Finland,Finland,Finland,0.989194109907438
FRA,France,France,France,0.997164112290526
GBR,United Kin,United Kin,United Kin,0.976046028668129
GRC,Greece,Greece,Greece,0.976644288821548
HRV,Croatia,Croatia,Croatia,0.993095872194871
HUN,Hungary,Hungary,Hungary,0.991199478323077
IRL,Ireland,Ireland,Ireland,0.989725047125007
ISL,Iceland,Iceland,Iceland,0.990719986163964
ITA,Italy,Italy,Italy,0.993278025593384
LIE,Liechtenst,Liechtenst,Liechtenst,0.971429437398911
LTU,Lithuania,Lithuania,Lithuania,0.9929519450223
LUX,Luxembourg,Luxembourg,Luxembourg,0.981556221842766
LVA,Latvia,Latvia,Latvia,0.992084836959839
MLT,Malta,Malta,Malta,
NLD,Netherland,Netherland,Netherland,0.993287533772092
NOR,Norway,Norway,Norway,0.996823857856702
POL,Poland,Poland,Poland,0.994137512211885
PRT,Portugal,Portugal,Portugal,0.992141480766126
ROU,Romania,Romania,Romania,0.995790472267367
SVK,Slovakia,Slovakia,Slovakia,0.991929822497898
SVN,Slovenia,Slovenia,Slovenia,0.976936263497919
SWE,Sweden,Sweden,Sweden,0.976550749900803
